title,rating,rating_count,status,view,genres
Virus Tensei kara Isekai Kansen Monogatari,1.7,28,Ongoing,5778,"['Action', 'Comedy', 'Fantasy', 'Adventure']"
Supreme Taoist,2.8,42,Ongoing,3462,"['Action', 'Fantasy', 'Manhua', 'Martial Arts']"
I Summoned Her!?,2.5,52,Ongoing,10004,"['Comedy', 'Harem', 'Romance']"
The Baby Land Lord Is Retiring,2.5,98,Ongoing,22075,"['Fantasy', 'Romance', 'Manhwa']"
God Jangsan Tiger,2.7,189,Ongoing,5929,"['Drama', 'Fantasy', 'Romance', 'Shoujo']"
That Time I Bought a Great Wizard in Hopes of Becoming a Runaway,5,1,Ongoing,1189,"['Fantasy', 'Romance']"
"Since I became a decoration queen, I decided to go to work secretly- I'm not lonely sleeping alone because there is a rabbit!~",1.5,1,Ongoing,899,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
RE:MONSTER,2.7,132,Ongoing,20585,"['Action', 'Fantasy', 'Harem', 'Romance', 'Seinen']"
I Have a Hall of Heroic Souls,2.5,19,Ongoing,4220,"['Action', 'Drama', 'Fantasy', 'Horror', 'Manhua', 'Supernatural']"
Chairman Kang: The Newcomer,2.6,393,Ongoing,21973,"['Drama', 'Manhwa']"
The Regressed S-Class Adventurer’s Quest Life,2.9,548,Ongoing,21845,['Manga']
I'm dating a Dark Summoner,2.3,158,Ongoing,16536,"['Comedy', 'Fantasy', 'Romance', 'Adventure']"
I Don't Understand Shirogane-san's Facial Expression at All,2,31,Ongoing,8237,"['Comedy', 'Romance', 'School Life', 'Slice of Life']"
Panlong,2.8,17,Ongoing,2933,"['Adult', 'Fantasy', 'Manhua', 'Shounen', 'Supernatural']"
Attention Seeker,2.2,27,Ongoing,6060,"['Action', 'Manhwa']"
The Indomitable Martial King,2.7,672,Ongoing,22756,"['Action', 'Fantasy', 'Martial Arts', 'Adventure']"
Soul of Chi You,2.4,170,Ongoing,3054,"['Action', 'Drama', 'Fantasy', 'Manhwa', 'Martial Arts', 'Seinen']"
The Hunter,3.4,11,Ongoing,7357,"['Comedy', 'Drama', 'Fantasy', 'Historical', 'Horror', 'Martial Arts', 'Mystery', 'Psychological', 'Romance', 'Seinen']"
