title,rating,status,type,chapter,release
Sleeping Ranker,9.8,Ongoing,Manhwa,115,"March 17, 2022"
Sword Fanatic Wanders Through The Night,9.7,Ongoing,Manhwa,113,"June 7, 2022"
Dungeon Defense,9.9,Ongoing,Manga,29,"March 21, 2024"
The Genius Assassin Who Takes it All,9.7,Ongoing,Manhwa,32,"November 25, 2023"
Shadowless Night,9.8,Dropped,Manhwa,63,"August 18, 2022"
The Last Adventurer,9.7,Ongoing,Manhwa,19,"March 30, 2024"
Worn and Torn Newbie,9.5,Dropped,Manhwa,159,"November 30, 2020"
The Second Coming of Gluttony,9.2,Dropped,Manhwa,109- S2 END,"February 23, 2021"
The Tutorial is Too Hard,8.7,Ongoing,Manhwa,166,"January 31, 2021"
Player Who Can’t Level Up,9.9,Ongoing,Manhwa,148,"February 28, 2021"
F-Class Destiny Hunter,9.6,Ongoing,Manhwa,62 {S1 END},"April 28, 2023"
Eternally Regressing Knight,9.7,Ongoing,Manhwa,6,"May 17, 2024"
Transmigrating to the Otherworld Once More,9.5,Dropped,Manhwa,50.5 Drop Notice,"April 22, 2022"
Heavenly Martial God,9.3,Ongoing,Manhwa,65 - S1 END,"September 19, 2021"
The S-Classes That I Raised,9.9,Ongoing,Manhwa,137,"November 8, 2021"
"Myst, Might, Mayhem",9.8,Ongoing,Manhwa,22 - The Mountain-Piercing Shelled Beast and New Moon (2),"March 4, 2024"
Mookhyang The Origin,9.8,Completed,Manhwa,47,"February 21, 2021"
Talent-Swallowing Magician,9.8,Ongoing,Manhwa,75,"December 31, 2021"
Villain To Kill,9.4,Ongoing,Manhwa,150,"February 15, 2021"
Everyone Else is A Returnee,9.9,Ongoing,Manhwa,46 - (S1 End),"January 31, 2023"
I Shall Live As a Prince,9.8,Completed,Manhwa,88 -END-,"April 24, 2021"
Reincarnator,9.7,Ongoing,Manhwa,29,"December 30, 2023"
Overbearing Tyrant,9.7,Ongoing,Manhwa,53,"May 13, 2022"
My Insanely Competent Underlings,9.7,Dropped,Manhwa,24.5 Drop Notice,"November 17, 2022"
The God of Pro Wrestling,9.5,Dropped,Manhwa,42,"April 25, 2021"
Academy’s Undercover Professor,9.7,Ongoing,Manhwa,93 - Justice’s Victory {S2-END},"June 4, 2022"
Bloodhound’s Regression Instinct,9.1,Ongoing,Manhwa,30,"November 23, 2023"
I Regressed As The Duke,9.2,Dropped,Manhwa,64.5 - Drop Notice,"April 24, 2022"
Doctor’s Rebirth,9.9,Ongoing,Manhwa,152 {S4 END},"January 16, 2021"
Revenge of the Iron-Blooded Sword Hound,9.8,Ongoing,Manhwa,74 - [S1 END],"April 14, 2023"
Updater,8.9,Dropped,Manhwa,70,"March 31, 2021"
The Terminally Ill Young Master of the Baek Clan,9.5,Ongoing,Manhwa,44 - Thank you for Everything,"August 28, 2023"
Ultimate Devouring System,8.5,Dropped,Manhua,18,"October 26, 2022"
The Dark Magician Transmigrates After 66666 Years,9.9,Ongoing,Manhwa,118,"June 29, 2021"
The Greatest Sword Hero Returns After 69420 Years,10,Ongoing,Manhwa,7,"April 1, 2024"
Infinite Mage,9.9,Ongoing,Manhwa,65 - {S1 END},"December 30, 2022"
"Star Instructor, Master Baek",9.7,Ongoing,Manhwa,99 S2 - END,"September 2, 2023"
Academy’s Genius Swordmaster,9.5,Ongoing,Manhwa,50,"July 29, 2023"
My Path to Killing Gods in Another World,8.8,Dropped,Manhua,66.5 Drop Notice,"June 16, 2021"
I’m the Only One Loved by the Constellations!,9.3,Dropped,Manhwa,58,"August 31, 2021"
Ending Maker,9.7,Ongoing,Manhwa,64,"May 29, 2022"
Son’s Retribution,9.3,Ongoing,Manhwa,11,"April 17, 2024"
Terminally-Ill Genius Dark Knight,9.7,Ongoing,Manhwa,58,"May 17, 2023"
Omniscient Reader’s Viewpoint,10,Ongoing,Manhwa,211 - 35. 73rd Demon King (2),"September 13, 2020"
"To Hell With Being A Saint, I’m A Doctor",9.6,Ongoing,Manhwa,83,"May 31, 2022"
Saving the Villain Who was Abandoned by the Female Lead **Dropped**,9,Dropped,Manhwa,21,"October 22, 2020"
Legend of Mir: The Golden Armored Dragon,8,Dropped,Manhwa,27,"December 24, 2020"
The Extra is Too Strong,9.7,Ongoing,Manhwa,50 {S1 END},"June 23, 2023"
The Indomitable Martial King,9.8,Ongoing,Manhwa,30 - 9. Calamity Horn (4),"March 31, 2024"
Devil Returns To School Days,9.6,Ongoing,Manhwa,53 -S1 End-,"September 16, 2023"
Existence,9.9,Dropped,Manhwa,60,"August 20, 2022"
Tiger’s Descent,8.7,Dropped,Manhwa,24,"June 7, 2022"
"Starting Today, I’m a Player",9.1,Dropped,Manhwa,74.5 Drop Notice,"September 17, 2021"
The Nebula’s Civilization,9.8,Ongoing,Manhwa,44,"March 3, 2024"
Heavenly Inquisition Sword,9.5,Ongoing,Manhwa,74 {S1 End},"October 31, 2022"
The King’s Avatar,10,Dropped,Manhua,8,"September 13, 2020"
My Exclusive Tower Guide,9.5,Ongoing,Manhwa,16,"April 15, 2024"
My Daughter is the Final Boss,9.7,Ongoing,Manhwa,126,"April 14, 2022"
Genius of the Unique Lineage,9.5,Ongoing,Manhwa,69,"August 3, 2022"
Otherworldly Skeleton Evolution,8,Ongoing,Manhua,13,"August 25, 2023"
I’ll Be Taking A Break For Personal Reasons,9.5,Ongoing,Manhwa,104,"October 19, 2022"
The Blood Knight’s Villains,9.6,Dropped,Manhwa,25,"July 27, 2023"
"Logging 10,000 Years into the Future",8.8,Ongoing,Manhua,119,"January 19, 2023"
Demonic Evolution,8.5,Ongoing,Manhua,59,"February 28, 2023"
The Return of the Crazy Demon,10,Ongoing,Manhwa,119,"July 22, 2021"
Heavenly Demon Instructor,9.6,Completed,Manhwa,105 - The End -,"December 4, 2021"
The Star of a Supreme Ruler,9.8,Dropped,Manhwa,29,"February 28, 2022"
The First Order,8.7,Dropped,Manhua,29,"October 5, 2021"
Reaper of the Drifting Moon,9.9,Ongoing,Manhwa,87,"July 15, 2022"
My Daughter is a Dragon!,9.7,Dropped,Manhwa,40.5 Drop Notice,"August 31, 2022"
The Heavenly Demon Can’t Live a Normal Life,9.9,Ongoing,Manhwa,117 - Roman Dmitri's Warning -S2 END-,"June 14, 2021"
I Returned as an FFF-Class Witch Doctor,9.3,Dropped,Manhwa,62,"April 10, 2023"
The Dark Mage’s Return to Enlistment,9.5,Ongoing,Manhwa,50 - {S1-END},"March 17, 2023"
Super Evolution,8.8,Dropped,Manhua,117,"July 27, 2021"
Poison-Eating Healer,9.7,Ongoing,Manhwa,50 - ( S1 END ),"December 11, 2022"
Bones,9.7,Ongoing,Manhwa,3,"July 21, 2023"
Champion’s Path to Murim,9.6,Ongoing,Manhwa,41 {S1 End},"September 10, 2022"
On My Way to Kill God,9.3,Dropped,Manhwa,43.5 Drop Notice,"September 14, 2022"
Weapon Maker,9.3,Ongoing,Manhwa,29,"August 30, 2023"
Return of the SSS-Class Ranker,9.6,Ongoing,Manhwa,105,"August 14, 2022"
The World After The End,9.9,Ongoing,Manhwa,128,"February 7, 2022"
Archmage Transcending Through Regression,9.8,Ongoing,Manhwa,105,"October 5, 2022"
